schedule,chunk,threads,execution_time
static,1.0,1.0,3.581
static,1.0,2.0,1.932
static,1.0,3.0,1.365
static,1.0,4.0,1.11
static,2.0,1.0,3.705
static,2.0,2.0,1.906
static,2.0,3.0,1.312
static,2.0,4.0,1.023
static,4.0,1.0,3.789
static,4.0,2.0,1.877
static,4.0,3.0,1.315
static,4.0,4.0,1.001
dynamic,1.0,1.0,3.591
dynamic,1.0,2.0,2.217
dynamic,1.0,3.0,1.483
dynamic,1.0,4.0,1.179
dynamic,2.0,1.0,3.597
dynamic,2.0,2.0,2.022
dynamic,2.0,3.0,1.343
dynamic,2.0,4.0,1.034
dynamic,4.0,1.0,3.587
dynamic,4.0,2.0,1.871
dynamic,4.0,3.0,1.275
dynamic,4.0,4.0,0.992
sequential,,,3.58619
